Tile_Name,Tile_Color,Tile_Size,Room_Type,Room_Color,Tile_Price,Tile_type,Finish_Type
Amberese,Rose,300 x 300 mm,Bedroom,Rose,230,Fully Vitrified Full Body Porcelain,Anti Slip
Amberese,Red,300 x 300 mm,Bedroom,Red,237,Fully Vitrified Full Body Porcelain,Anti Slip
Amberese,Brown,300 x 300 mm,Bedroom,Brown,237,Fully Vitrified Full Body Porcelain,Anti Slip
Amberese,Gray,300 x 300 mm,Bedroom,Gray,155,Fully Vitrified Full Body Porcelain,Anti Slip
Amberese,Piacentina Muschio Green,300 x 300 mm,Bedroom,Green,257,Porcelain Tile,Anti Slip
Amberese,Slate Brown Black,300 x 300 mm,Bedroom,Brown,254,Glazed Vitrified Porcelain Tile,Anti Slip
Australian Stone,Slate Yellow,300 x 300 mm,Bedroom,Yellow,254,Glazed Vitrified Porcelain Tile,Anti Slip
Australian Stone,Slate Green,300 x 300 mm,Bedroom,Green,253,Glazed Vitrified Porcelain Tile,Anti Slip
Australian Stone,Beige,300 x 300 mm,Bedroom,Beige,198,Fully Vitrified Full Body Porcelain,Anti Slip
Australian Stone,Green Beige,300 x 300 mm,Bedroom,Beige,198,Fully Vitrified Full Body Porcelain,Anti Slip
Australian Stone,Brown White,300 x 300 mm,Bedroom,White,218,Fully Vitrified Full Body Porcelain,Anti Slip
Australian Stone,Brown White,300 x 300 mm,Livingroom,White,172,Fully Vitrified Full Body Porcelain,Anti Slip
Azul Latino,Gray White,300 x 300 mm,Livingroom,White,160,Fully Vitrified Full Body Porcelain,Anti Slip
Beola Stone,Gray White,300 x 300 mm,Livingroom,White,172,Fully Vitrified Full Body Porcelain,Anti Slip
Beola Stone,Gray White,300 x 300 mm,Livingroom,White,201,Fully Vitrified Full Body Porcelain,Anti Slip
Beola Stone,Light Green,300 x 300 mm,Livingroom,Green,198,Fully Vitrified Full Body Porcelain,Anti Slip
Beola Stone,Brown,300 x 300 mm,Livingroom,Brown,223,Porcelain Tile,Anti Slip
Campigiane Cotto,Green,300 x 300 mm,Livingroom,Green,237,Glazed Vitrified Porcelain Tile,Anti Slip
Campigiane Cotto,Brownish Green,300 x 300 mm,Livingroom,Green,198,Glazed Vitrified Porcelain Tile,Anti Slip
Campigiane Cotto,Red,300 x 300 mm,Livingroom,Red,139,Fully Vitrified Full Body Porcelain,Anti Slip
Champer Cotto,Black,300 x 300 mm,Diningroom,Black,218,Fully Vitrified Full Body Porcelain,Anti Slip
Champer Cotto,Silver Gray,300 x 300 mm,Diningroom,Gray,198,Fully Vitrified Full Body Porcelain,Anti Slip
Glazed,Brown,300 x 300 mm,Diningroom,Brown,144,Fully Vitrified Full Body Porcelain,Anti Slip
Lapatto,Black,600 x 300 mm,Livingroom,Black,680,Fully Vitrified Full Body Porcelain,Anti Slip
Lahn,Dark Gray,600 x 300 mm,Livingroom,Gray,648,Fully Vitrified Full Body Porcelain,Anti Slip
